,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1204,36687285,https://www.airbnb.com/rooms/36687285,20240918135519,2024-09-18,previous scrape,Private condo great for work trips,,,https://a0.muscache.com/pictures/a8773615-8d2c-459f-ba95-f0d48bb991af.jpg,463127,https://www.airbnb.com/users/show/463127,Janice,2011-03-25,"Boston, MA",I'm an independent consultant who travels as often as possible for both business and pleasure.  ,,,,f,https://a0.muscache.com/im/pictures/user/d8ece8ff-f079-4670-8425-db935cef59c5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d8ece8ff-f079-4670-8425-db935cef59c5.jpg?aki_policy=profile_x_medium,South End,1,2,"['email', 'phone', 'work_email']",t,t,,South End,,42.33735,-71.07565,Entire condo,Entire home/apt,6,,1.5 baths,2.0,,"[""Indoor fireplace"", ""Essentials"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Free parking on premises"", ""TV"", ""Heating"", ""Kitchen"", ""Private entrance"", ""Carbon monoxide alarm"", ""Washer"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Hangers""]",,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,t,0,0,0,0,2024-09-18,1,0,0,2019-08-14,2019-08-14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.02
1216,37386681,https://www.airbnb.com/rooms/37386681,20240918135519,2024-09-18,previous scrape,Brigham Circle Longwood/HMS/BI/Dana Farber,"Centrally located at Brigham Circle, steps away from Harvard Medical School and world class hospitals (Brigham Women's, Boston Children's, Dana Farber, Beth Israel Deaconess, Mass Eyes & Ears, NE Baptist, etc) and top colleges (Northeastern Univ, Wentworth, MASSART, MCPHS, Simmons, Emmanuel, Berklee, NEC etc), right on T subway station with just a few stops away from all the attractions in downtown, yet still provide a quiet relaxing environment at the cul de sac with wooded hill in backyard.","On the end of a cul de sac street right off the busy Brigham Circle T subway station business area with various restaurants and bars, and the Stop & Shop grocery store is right up the hill next to Walgreens drug store. Boston staple Dunkin Donuts and JP Licks ice cream shop are right across the street. The landmark soaring Boston's Basilica is right on the corner.<br /><br />Museums within 10 minutes of walk: Museum of Fine Arts, MassArt Art Museum, Isabella Stewart Gardner Museum, etc",https://a0.muscache.com/pictures/miso/Hosting-37386681/original/78ec51c2-de3e-45fc-9178-845ed3bbb9b7.jpeg,184906834,https://www.airbnb.com/users/show/184906834,Janice,2018-04-18,"Cambridge, MA","Living in Boston/Cambridge for decades, I am in love with the charming Charles River and historic city streets.  My family enjoy traveling to different countries and learning about their cultures. I love meeting with people from all over the world.",within an hour,1.0,0.99,t,https://a0.muscache.com/im/pictures/user/User-184906834/original/6027cd25-51f0-44d0-a4a6-f45621d2703c.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-184906834/original/6027cd25-51f0-44d0-a4a6-f45621d2703c.jpeg?aki_policy=profile_x_medium,Cambridge,8,19,"['email', 'phone']",t,t,Neighborhood highlights,Mission Hill,,42.33312,-71.10272,Entire rental unit,Entire home/apt,5,,1 bath,1.0,,"[""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Shared backyard \u2013 Fully fenced"", ""Blender"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""Conditioner"", ""Toaster"", ""Oven"", ""Outdoor dining area"", ""Microwave"", ""Hot water kettle"", ""Dishes and silverware"", ""Paid dryer \u2013 In building"", ""Ceiling fan"", ""Portable fans"", ""Dining table"", ""Rice maker"", ""Paid washer \u2013 In building"", ""Single level home"", ""Smart lock"", ""Garden view"", ""Wine glasses"", ""Body soap"", ""Carbon monoxide alarm"", ""Coffee"", ""Shower gel"", ""Hangers"", ""Iron"", ""Window AC unit"", ""First aid kit"", ""Bathtub"", ""Bed linens"", ""Refrigerator"", ""Paid parking lot off premises"", ""Drying rack for clothing"", ""Outdoor furniture"", ""Clothing storage: wardrobe"", ""Dedicated workspace"", ""Gas stove"", ""Shared patio or balcony"", ""Freezer"", ""Cleaning available during stay"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Self check-in"", ""Cleaning products"", ""Baking sheet"", ""Extra pillows and blankets"", ""Long term stays allowed""]",,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,0,0,0,0,2024-09-18,86,13,1,2019-09-09,2024-08-29,4.7,4.7,4.77,4.9,4.9,4.62,4.47,STR-489650,t,4,4,0,0,1.4
1223,37718326,https://www.airbnb.com/rooms/37718326,20240918135519,2024-09-18,previous scrape,LUXURY CONDO BEST LOCATION IN BOSTON,"Elegant classic European dÃ©cor finest Mable in kitchen, latest modern bathroom design.  balcony's overlooking both sides of the Boston. front balcony views Cambridge Boston common, public garden Mit Harvard university the best view on Boston, Gourmet kitchen ,icemaker, dual gas stove. Newly renovated hardwood floors through out, Persian rugs","Located in the hard of Boston, close to all university's hospitals. walking distance to opera house and theaters best restaurants in the city as well as shopping, Boston common and public garden is our front yard,",https://a0.muscache.com/pictures/83337182-e900-4f19-88c7-82bd74aa0229.jpg,275833371,https://www.airbnb.com/users/show/275833371,Karl,2019-07-13,"Boston, MA",,,,,f,https://a0.muscache.com/im/pictures/user/d9f25785-5058-4d45-ae05-c55958530ad9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d9f25785-5058-4d45-ae05-c55958530ad9.jpg?aki_policy=profile_x_medium,Theater District,3,7,"['email', 'phone']",t,f,Neighborhood highlights,Downtown,,42.35473,-71.0622,Entire condo,Entire home/apt,6,,3 baths,2.0,,"[""Iron"", ""Wifi"", ""TV"", ""Gym"", ""Heating"", ""Kitchen"", ""Shampoo"", ""Elevator"", ""Breakfast"", ""Dryer"", ""Washer"", ""Pool"", ""Air conditioning"", ""Hangers""]",,91,150,91.0,91.0,150.0,150.0,91.0,150.0,,t,30,60,90,365,2024-09-18,0,0,0,,,,,,,,,,,f,2,2,0,0,
1225,37749165,https://www.airbnb.com/rooms/37749165,20240918135519,2024-09-18,previous scrape,LUxury condo in downtown Boston best location,,,https://a0.muscache.com/pictures/83337182-e900-4f19-88c7-82bd74aa0229.jpg,275833371,https://www.airbnb.com/users/show/275833371,Karl,2019-07-13,"Boston, MA",,,,,f,https://a0.muscache.com/im/pictures/user/d9f25785-5058-4d45-ae05-c55958530ad9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d9f25785-5058-4d45-ae05-c55958530ad9.jpg?aki_policy=profile_x_medium,Theater District,3,7,"['email', 'phone']",t,f,,Downtown,,42.35535,-71.06257,Entire condo,Entire home/apt,6,,3 baths,2.0,,"[""Gym"", ""Kitchen"", ""Shampoo"", ""Air conditioning"", ""Private entrance"", ""Elevator"", ""Dryer"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""First aid kit"", ""Fire extinguisher"", ""Washer"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""TV"", ""Heating"", ""Pool""]",,91,180,91.0,91.0,180.0,180.0,91.0,180.0,,t,23,53,83,358,2024-09-18,0,0,0,,,,,,,,,,,t,2,2,0,0,
1229,37912471,https://www.airbnb.com/rooms/37912471,20240918135519,2024-09-18,previous scrape,"Ideal for Families 2,500 sq ft Charlestown Home","IDEAL FOR FAMILIES! Our home, located in Charlestown MA, the oldest neighborhood within the city of Boston, stands as a single family with 4 finished floors of living space topped off with a roof deck and views of the Bunker Hill Monument! We believe you will find our home is perfect for families visiting the city that are looking to explore all that Boston has to offer while also enjoying the comfort of a home base. This home has historic charm but has been fully renovated!","If you visit us in the winter and want to catch a Celtics or Bruins game we are less than a mile from TD Garden. <br /><br />For those families that are looking for a few meals at home, Wholefoods market is right on Main St.",https://a0.muscache.com/pictures/2690a227-2993-4681-8a53-50b77161c074.jpg,27180387,https://www.airbnb.com/users/show/27180387,Jen,2015-02-03,"Boston, MA","We have lived in Boston for 10 years, the last 2 in Charlestown. ",,,,f,https://a0.muscache.com/im/pictures/user/ff1db8bf-9e23-48b3-875c-d803ce0e836f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ff1db8bf-9e23-48b3-875c-d803ce0e836f.jpg?aki_policy=profile_x_medium,Charlestown,1,1,"['email', 'phone']",t,f,Neighborhood highlights,Charlestown,,42.37845,-71.0635,Entire home,Entire home/apt,8,,2.5 baths,3.0,,"[""Cooking basics"", ""Essentials"", ""Babysitter recommendations"", ""Pack \u2019n play/Travel crib"", ""Exterior security cameras on property"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Baby monitor"", ""Hair dryer"", ""Air conditioning"", ""Children\u2019s books and toys"", ""Stove"", ""Oven"", ""Microwave"", ""Dishes and silverware"", ""Free parking on premises"", ""Private entrance"", ""Dryer"", ""High chair"", ""Host greets you"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Refrigerator"", ""First aid kit"", ""Bathtub"", ""Bed linens"", ""Fire extinguisher"", ""Washer"", ""Crib"", ""Hot water"", ""Children\u2019s dinnerware"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Pets allowed"", ""Extra pillows and blankets"", ""Changing table""]",,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,,0,0,0,0,2024-09-18,0,0,0,,,,,,,,,,STR-407363,f,1,1,0,0,
1245,38382899,https://www.airbnb.com/rooms/38382899,20240918135519,2024-09-18,previous scrape,Lovely place in Jamaica Plain,Light,,https://a0.muscache.com/pictures/15641261-8229-4490-8779-5d00a789ce38.jpg,292283551,https://www.airbnb.com/users/show/292283551,Vitanur,2019-09-05,,"Welcome to our profile! We are Vitanur and we are dedicated to provide you with a comfortable and hassle free stay in Boston and surrounding areas. Our rooms range from compact to large, from low-budget to lux. 

The things we excel at are 24/7 customer service within 5 minutes and the cleanliness of our rooms. Please reach out without hesitation and one of our team members will accommodate you immediately, be it asking for recommendations around town or you not being able to figure out the thermostat :).

With warmest regards,
The Vitanur Team",,,,f,https://a0.muscache.com/im/pictures/user/0248b585-d25b-4b1d-824b-3ffd42f4f1ff.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0248b585-d25b-4b1d-824b-3ffd42f4f1ff.jpg?aki_policy=profile_x_medium,Jamaica Plain,14,28,"['email', 'phone']",t,t,,Jamaica Plain,,42.32187,-71.10862,Entire rental unit,Entire home/apt,10,,1 bath,5.0,,"[""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Breakfast"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Private entrance"", ""Dryer"", ""Free street parking"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Fire extinguisher"", ""Washer"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating""]",,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,t,0,0,0,0,2024-09-18,3,0,0,2019-11-10,2020-02-23,4.0,3.67,4.33,5.0,4.67,4.33,4.0,Exempt: This listing is a unit used for furnished institutional or business stays,t,5,1,4,0,0.05
1281,39536784,https://www.airbnb.com/rooms/39536784,20240918135519,2024-09-18,previous scrape,5BR triple decker apartment â€“15 mins to City,"Located on the second floor of a charming multifamily building, this spacious 5-bedroom apartment is perfect for groups or families visiting Boston. Enjoy two private balconies and easy access to downtown, Fenway Park, TD Garden, and top attractions like Faneuil Hall and the Boston Waterfront. Shops, dining, and groceries are all within walking distance, making this an unbeatable location for your stay.","One of the most historic cities in the United States, Boston is more like a collection of towns than a sprawling metropolis, itâ€™s easy to get around and compact, making it perfect for travellers. <br /><br />Steeped in history, delicious food, wide-open green spaces, first-rate museums, and warm, welcoming people, visiting Boston offers all the benefits of a big metropolis without the intensity and fast pace of New York.<br /><br />The subway â€“ a 10 minute walk from the apartment - will take you wherever you need to go and with less transit time you can pack more into your trip and see everything the city has to offer even if youâ€™re only staying for a few days",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzk1MzY3ODQ%3D/original/44f609a1-33bd-4ae7-84e1-3020808934ee.jpeg,271440146,https://www.airbnb.com/users/show/271440146,Caleb,2019-06-26,"Boston, MA",,within an hour,1.0,0.98,t,https://a0.muscache.com/im/pictures/user/User-271440146/original/b0eb4590-bc1e-4ae4-8c44-c2d1b187e050.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-271440146/original/b0eb4590-bc1e-4ae4-8c44-c2d1b187e050.jpeg?aki_policy=profile_x_medium,Jamaica Plain,3,9,"['email', 'phone']",t,t,Neighborhood highlights,Dorchester,,42.29823,-71.07104,Entire rental unit,Entire home/apt,10,,1 bath,5.0,,"[""Cooking basics"", ""Essentials"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Lockbox"", ""Air conditioning"", ""Stove"", ""Oven"", ""Microwave"", ""Free street parking"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""Refrigerator"", ""First aid kit"", ""Bed linens"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""TV"", ""Heating"", ""Self check-in"", ""Long term stays allowed""]",,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,13,41,66,336,2024-09-18,82,14,1,2021-03-14,2024-08-31,4.74,4.71,4.72,4.74,4.83,4.4,4.66,STR-469078,f,2,2,0,0,1.91
1287,39788966,https://www.airbnb.com/rooms/39788966,20240918135519,2024-09-18,city scrape,"Apartment w/Parking, minutes to airport / Downtown","Spacious 3 Bedroom apartment in Boston great for vacation, business or layover.<br /><br />-Modern and clean with lots of light.<br />-Great for families and groups.<br />-Minutes to subway and Downtown Boston.<br />-Affordable and convenient location.<br />-All amenities included plus free parking.<br />-Easy access to and from airport.<br /><br />Recently renovated first floor apartment fully furnished with all amenities including washer, dryer, wifi, tv, full kitchen and parking.<br />Convenient location just minutes to all area amenities.",This apartment is located on a quiet side street but is still just minutes to all East Boston has to offer from its beaches to its parks and restaurants.,https://a0.muscache.com/pictures/miso/Hosting-39788966/original/b2ba7e65-8346-4131-9855-5b550ae7ce18.jpeg,305860570,https://www.airbnb.com/users/show/305860570,Joseph,2019-11-01,,,within an hour,0.9,1.0,t,https://a0.muscache.com/im/pictures/user/78537965-cc48-421e-b20d-4b41d16953c6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/78537965-cc48-421e-b20d-4b41d16953c6.jpg?aki_policy=profile_x_medium,East Boston,1,1,"['email', 'phone']",t,f,Neighborhood highlights,East Boston,,42.38483,-71.01962,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,4.0,"[""Cooking basics"", ""Barbecue utensils"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Exterior security cameras on property"", ""Dishwasher"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""BBQ grill: gas"", ""Conditioner"", ""Stove"", ""Toaster"", ""Oven"", ""Outdoor dining area"", ""Microwave"", ""Dishes and silverware"", ""Ceiling fan"", ""Portable fans"", ""Coffee maker: Keurig coffee machine"", ""Free parking on premises"", ""Single level home"", ""Books and reading material"", ""Smart lock"", ""Private entrance"", ""Dryer"", ""Free street parking"", ""Body soap"", ""Carbon monoxide alarm"", ""Coffee"", ""Patio or balcony"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Window AC unit"", ""First aid kit"", ""Bathtub"", ""Bed linens"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser"", ""Fire extinguisher"", ""Refrigerator"", ""Washer"", ""Dedicated workspace"", ""Freezer"", ""Hot water"", ""Smoke alarm"", ""Board games"", ""Wifi"", ""Heating"", ""Self check-in"", ""Cleaning products"", ""Baking sheet"", ""Backyard"", ""Extra pillows and blankets""]",259.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,1,12,37,201,2024-09-18,181,43,4,2019-12-01,2024-09-07,4.96,4.96,4.98,4.94,4.99,4.82,4.93,STR-461605,f,1,1,0,0,3.1
1293,39984676,https://www.airbnb.com/rooms/39984676,20240918135519,2024-09-18,previous scrape,Country home in the city of Boston.,"Charming 1926 Colonial with lovely natural woodwork and cook's kitchen, attractively decorated and comfortable for parties of up to 7.  Located in a quiet residential neighborhood yet convenient to public transportation and amenities.  The renowned Arnold Arboretum is down the street and hip happening JP Center is a 20 minute walk or 5 minute bus ride.  In fair weather, the yard is teeming with blooms; the back deck provides a convenient place to enjoy a cup of coffee or glass of wine.","Jamaica Hills is a friendly area that feels like a suburb but has close proximity to amenities and public transportation.  It is lovely and quiet, bounded by green space such as Allandale Farm and the Arnold Arboretum.  It is very kid friendly with a play ground just a half block away.   There are lots of dogs!  And wild turkeys and the occasional deer.",https://a0.muscache.com/pictures/e183e750-d584-4a08-89f6-0c4bc9f339be.jpg,42947943,https://www.airbnb.com/users/show/42947943,Emily,2015-08-30,"Boston, MA","I am an urban policy and housing professional who loves city living and Jamaica Plain specifically.  
",,,,f,https://a0.muscache.com/im/pictures/user/ded85f10-8723-400d-8e49-c0584f6d2578.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ded85f10-8723-400d-8e49-c0584f6d2578.jpg?aki_policy=profile_x_medium,Jamaica Plain,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Jamaica Plain,,42.30639,-71.13026,Entire home,Entire home/apt,6,,2.5 baths,4.0,,"[""Essentials"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Microwave"", ""Dishes and silverware"", ""Free parking on premises"", ""Private entrance"", ""Dryer"", ""Free street parking"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""Indoor fireplace"", ""Pets allowed"", ""Refrigerator"", ""First aid kit"", ""Fire extinguisher"", ""Washer"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""TV"", ""Heating"", ""Keypad"", ""Self check-in"", ""Backyard""]",,300,1125,300.0,300.0,1125.0,1125.0,300.0,1125.0,,t,29,59,89,179,2024-09-18,5,0,0,2020-01-11,2020-03-09,4.8,4.6,5.0,5.0,5.0,5.0,5.0,STR-416110,f,1,1,0,0,0.09
1300,40348580,https://www.airbnb.com/rooms/40348580,20240918135519,2024-09-18,city scrape,Comfy & Spacious 3BR in Center of Downtown Boston,"Welcome to our sunlight-embraced apartment in a beautiful stony building. We offer a comfortable stay right in the center of downtown Boston! Walkable to all the highlights that Boston has to offer! T-Station next door!<br />â€” 3BR, 1200 sqft,  12ft ceiling, hardwood floor<br />â€” 2xFull, 1xKing, 1xDaybed (Pullout King Size only 2"" shorter)<br />â€” Stainless steel appliances, contemporary design <br />â€” Full kitchen<br />â€” LG washer/dryer in unit<br />â€” 3 large-screen smart TVs<br />â€” Central AC/HT<br />â€” 2 Elevators<br />BLEACHED CLEAN!!","Our beautiful historical stone building is located in a pedestrian shopping zone across the street from Macy's and many department stores. Roche Bro's grocery, Starbucks, Caffe Nero, George Howell, Gypsy Place, restaurants, Crossing Food Court, and CVS, are all within 3 minutes' walking distance! Between the financial district, Chinatown, the Boston Common, and various revolutionary-era landmarks like Freedom Trail, Old State House, Old South Meeting House, King's Chapel, etc. peppered throughout the city. Its historic buildings now house a mix of department stores, fashion and discount chains, souvenir shops, and other specialty retailers. Street vendors selling food and knick-knacks and commuters from the nearby subway stations add to the daytime hustle, and office workers from the financial district and students from nearby universities often frequent the upscale restaurants and bars that open during the evening. In the morning, Downtown Crossing is also popular for its array of ind",https://a0.muscache.com/pictures/hosting/Hosting-40348580/original/cc94d305-6cb4-40c5-bfaf-8a1fe080b717.jpeg,100148225,https://www.airbnb.com/users/show/100148225,Amy,2016-10-18,"Boston, MA","Hello! My name is Amy and Iâ€™m a senior risk analyst working for a global financial company in Boston. 

Thank you for considering staying with us during your time in Boston. Whether youâ€™re coming for work, pleasure or to visit family, youâ€™ll love staying at our apartment. Itâ€™s a bright modern airy space, with all the amenities you need for the perfect stay. No matter how far you are from, we make Boston your second home!",within an hour,1.0,1.0,t,https://a0.muscache.com/im/pictures/user/70db8401-d5e6-4eab-a367-6616bb86ccbd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/70db8401-d5e6-4eab-a367-6616bb86ccbd.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Downtown,,42.35471,-71.06173,Entire condo,Entire home/apt,6,1.0,1 bath,3.0,4.0,"[""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Free washer \u2013 In unit"", ""Children\u2019s books and toys for ages 5-10 years old and 10+ years old"", ""Clothing storage: closet and wardrobe"", ""Dishwasher"", ""Kitchen"", ""Shampoo"", ""Coffee maker: drip coffee maker"", ""Hair dryer"", ""Mosquito net"", ""Conditioner"", ""Toaster"", ""Oven"", ""Microwave"", ""Hot water kettle"", ""Dishes and silverware"", ""Ceiling fan"", ""Central air conditioning"", ""Portable fans"", ""Dining table"", ""Rice maker"", ""Single level home"", ""Books and reading material"", ""Private entrance"", ""Elevator"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Shower gel"", ""Hangers"", ""Iron"", ""Refrigerator"", ""First aid kit"", ""Bathtub"", ""Bed linens"", ""Fire extinguisher"", ""Standalone high chair - available upon request"", ""Dove body soap"", ""City skyline view"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Freezer"", ""Ethernet connection"", ""Hot water"", ""Smoke alarm"", ""Board games"", ""Wifi"", ""Pack \u2019n play/Travel crib - available upon request"", ""Central heating"", ""65 inch HDTV with Netflix, Amazon Prime Video, Roku"", ""Self check-in"", ""Cleaning products"", ""Keypad"", ""Baking sheet"", ""GE stainless steel gas stove"", ""Free dryer \u2013 In unit"", ""Extra pillows and blankets"", ""Table corner guards""]",603.0,2,28,1.0,4.0,1125.0,1125.0,2.3,1125.0,,t,2,8,16,175,2024-09-18,144,58,5,2022-04-15,2024-09-16,4.99,4.98,4.97,4.99,5.0,4.92,4.94,STR-481430,f,1,1,0,0,4.86
1306,40439006,https://www.airbnb.com/rooms/40439006,20240918135519,2024-09-18,previous scrape,Bright Spacious Apt w/ Free On Street Parking,"A 3 bedroom apt on the 2nd floor of an owner occupied building. The neighborhood is culturally diverse and located right next to a park. The unit is in walking distance of the MBTA red line Shawmut station. Downtown Boston is less than 10 miles away, 25 minutes via public transportation and approximately a 20-minute drive. There is plenty of on-street parking available. The apartment comes equipped with smart TVs in the living room and two of the bedrooms. NO PARTIES ALLOWED.","Ethnically diverse residential neighborhood with on-street parking available. Close to public transportation (Shawmut station Red line), restaurants, laundromat, and stores nearby.",https://a0.muscache.com/pictures/a53f836d-4f27-42ec-9a42-2ce63dcc23d5.jpg,116319471,https://www.airbnb.com/users/show/116319471,Greg And Alicia,2017-02-13,"Boston, MA",Couple with kids who love to travel and enjoy meeting new people.,within a few hours,1.0,1.0,t,https://a0.muscache.com/im/pictures/user/e07ce474-500b-466c-8e46-2ad86261ef2c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e07ce474-500b-466c-8e46-2ad86261ef2c.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,Neighborhood highlights,Dorchester,,42.29144,-71.0664,Entire rental unit,Entire home/apt,6,,1 bath,3.0,,"[""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Air conditioning"", ""Stove"", ""Toaster"", ""Oven"", ""Microwave"", ""Hot water kettle"", ""Dishes and silverware"", ""Ceiling fan"", ""Dining table"", ""Wine glasses"", ""Free street parking"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Hangers"", ""Iron"", ""Refrigerator"", ""First aid kit"", ""Bed linens"", ""Bathtub"", ""Laundromat nearby"", ""Dedicated workspace"", ""Clothing storage: closet"", ""Freezer"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""TV"", ""Heating"", ""Baking sheet"", ""Extra pillows and blankets"", ""Long term stays allowed""]",,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,t,29,59,89,364,2024-09-18,13,0,0,2020-03-01,2021-10-24,4.77,4.77,4.77,4.77,4.85,4.62,4.62,STR-416826,f,2,2,0,0,0.23
